product_id,time_id,customer_id,promotion_id,store_id,store_sales,store_cost,unit_sales
214,1081,826,78,1,8.46,3.55,3
763,1081,826,78,1,10.20,3.47,4
260,1081,826,78,1,5.52,2.76,3
778,1081,8397,78,1,8.16,2.61,3
195,1081,8397,78,1,3.54,1.66,2
385,1081,8397,78,1,3.12,1.56,2
961,1081,8397,78,1,2.62,0.86,2
12,1081,9887,78,1,4.62,1.39,3
934,1081,9887,78,1,3.30,1.09,3
871,1081,9887,78,1,10.16,4.27,4
328,1081,9887,78,1,5.04,1.92,4
715,1081,8021,78,1,3.10,1.43,2
359,1081,8021,78,1,5.28,2.38,4
282,1081,8021,78,1,2.79,1.23,3
586,1081,4350,78,1,5.68,2.22,4
16,1081,4350,78,1,11.49,4.02,3
898,1081,4350,78,1,5.22,1.93,3
1368,1081,4350,78,1,7.10,2.84,2
785,1081,4350,78,1,6.84,3.42,3
975,1081,4350,78,1,11.28,5.08,3
1551,1081,4350,78,1,2.32,1.02,2
151,1081,5933,78,1,5.82,2.85,2
1299,1081,5933,78,1,5.52,2.32,2
557,1081,5933,78,1,2.72,1.12,2
540,1081,8176,78,1,1.53,0.54,3
1276,1081,8176,78,1,4.29,1.59,3
1453,1081,8176,78,1,6.22,2.86,2
1336,1081,8176,78,1,13.56,5.56,4
128,1081,8176,78,1,1.06,0.40,2
224,1081,8176,78,1,3.46,1.38,2
667,1081,8176,78,1,7.98,3.91,3
1346,1081,5578,78,1,9.40,3.95,4
803,1081,5578,78,1,7.02,3.09,2
1147,1081,8039,78,1,4.26,1.83,3
258,1081,8039,78,1,5.16,2.01,3
1440,1081,3138,78,1,8.43,3.37,3
1350,1081,3138,78,1,2.76,1.38,3
475,1081,3138,78,1,7.83,3.84,3
1130,1081,3138,78,1,4.65,1.58,3
308,1081,3138,78,1,8.72,4.01,4
497,1081,5406,78,1,7.48,2.47,4
701,1081,5406,78,1,1.50,0.65,2
1222,1081,1260,78,1,4.90,1.62,2
354,1081,1260,78,1,11.25,4.61,5
1502,1081,1260,78,1,11.24,4.95,4
760,1081,1260,78,1,5.61,2.19,3
1430,1081,1260,78,1,13.44,4.70,4
248,1081,1260,78,1,3.44,1.10,4
774,1081,1260,78,1,7.35,2.94,3
1234,1081,6358,78,1,2.24,1.01,4
1505,1081,6358,78,1,11.00,4.73,4
27,1081,1287,78,1,7.95,3.90,3
110,1081,1287,78,1,7.05,3.38,3
1419,1081,1287,78,1,2.49,0.92,3
610,1081,1287,78,1,9.08,4.27,4
1065,1081,1287,78,1,5.64,2.43,3
843,1081,1287,78,1,8.82,2.73,3
366,1081,1287,78,1,7.08,2.48,3
1381,1081,1287,78,1,6.51,3.26,3
638,1081,7976,78,1,9.45,3.59,3
1347,1081,7976,78,1,5.31,1.65,3
1191,1081,7976,78,1,4.20,1.51,2
16,1081,4429,78,1,15.32,6.89,4
925,1081,4429,78,1,3.04,1.12,4
1314,1081,4429,78,1,1.92,0.63,3
1291,1081,4429,78,1,6.90,2.90,3
216,1081,4429,78,1,10.80,3.35,3
326,1081,4429,78,1,4.94,2.32,2
409,1081,4429,78,1,11.73,5.75,3
646,1081,5090,78,1,3.84,1.92,3
157,1081,5090,78,1,8.85,2.83,3
